"","rn","SYSTEM","RELEASE","CLASS","WMC","DIT","NOC","CBO","RFC","LCOM","CA","CE","NPM","LCOM3","LOC","DAM","MOA","MFA","CAM","IC","CBM","AMC","nextClass","nextLCOM","deltaLCOM","absDeltaLCOM"
"673","303962","tomcat","6.0.45","org.apache.catalina.realm.RealmBase",56,1,7,32,172,1166,7,25,45,0.9329,2268,1,6,0,88,0,0,39.0357,"org.apache.catalina.realm.RealmBase",675,-491,491
"674","305181","tomcat","6.0.45","org.apache.catalina.security.SecurityClassLoad",11,1,0,1,18,55,1,0,2,2,611,0,0,0,0.5,0,0,54.5455,"org.apache.catalina.security.SecurityClassLoad",36,-19,19
"675","306563","tomcat","7.0.72","org.apache.catalina.servlets.CGIServlet",20,0,0,5,116,140,2,5,2,0.8991,1067,1,0,0,0.2105,0,0,51.75,"org.apache.catalina.servlets.CGIServlet",53,-87,87
"676","307162","tomcat","6.0.45","org.apache.catalina.servlets.DefaultServlet",45,0,1,17,227,790,4,15,3,0.8961,3694,1,4,0,0.1651,0,0,80.6222,"org.apache.catalina.servlets.DefaultServlet",561,-229,229
"677","307534","tomcat","6.0.45","org.apache.catalina.servlets.WebdavServlet",34,0,0,14,189,393,2,14,2,0.9564,4427,1,1,0,0.2284,0,0,128.4706,"org.apache.catalina.servlets.WebdavServlet",332,-61,61
"678","308110","tomcat","7.0.72","org.apache.catalina.Session",35,1,0,43,35,595,42,2,35,1.0294,39,0,0,0,0.1683,0,0,0,"org.apache.catalina.Session",561,-34,34
"679","308726","tomcat","7.0.72","org.apache.catalina.session.JDBCStore",45,0,0,11,129,534,0,11,36,839,2007,1,0,0,0.2909,0,0,43.0667,"org.apache.catalina.session.JDBCStore",376,-158,158
"680","308876","tomcat","6.0.45","org.apache.catalina.session.ManagerBase",86,1,2,19,206,3051,6,16,78,0.9551,2166,1,2,0,0.1059,0,0,23.7326,"org.apache.catalina.session.ManagerBase",1974,-1077,1077
"681","309436","tomcat","5.0.7","org.apache.catalina.session.PersistentManagerBase",51,0,1,21,140,795,7,19,34,0.8913,1374,0.9375,0,0,0.1309,0,0,25.6275,"org.apache.catalina.session.PersistentManagerBase",502,-293,293
"682","310450","tomcat","5.0.2","org.apache.catalina.session.StandardManager",36,0,0,19,135,428,5,16,26,0.8967,1190,0.7692,1,0,0.1607,0,0,31.6944,"org.apache.catalina.session.StandardManager",267,-161,161
"683","311124","tomcat","7.0.72","org.apache.catalina.session.StandardSession",67,1,0,25,163,1439,8,19,58,0.88,2002,1,2,0,0.1427,0,0,28.4925,"org.apache.catalina.session.StandardSession",1258,-181,181
"684","311784","tomcat","4.0.4","org.apache.catalina.session.StoreBase",29,1,2,13,66,320,2,11,23,875,412,1,3,0,199,0,0,12.7931,"org.apache.catalina.session.StoreBase",167,-153,153
"685","316544","tomcat","7.0.72","org.apache.catalina.startup.Bootstrap",24,1,0,8,73,164,2,7,15,0.7609,810,0.5,1,0,0.2174,0,0,32.5,"org.apache.catalina.startup.Bootstrap",107,-57,57
"686","316843","tomcat","4.0.6","org.apache.catalina.startup.Catalina",18,1,1,10,70,121,1,9,5,0.7227,1716,1,1,0,0.2593,0,0,93.9444,"org.apache.catalina.startup.Catalina",67,-54,54
"687","319315","tomcat","7.0.72","org.apache.catalina.startup.ContextConfig",57,1,0,66,414,296,5,62,8,0.8609,5593,1,4,0,0.1113,0,0,96.7018,"org.apache.catalina.startup.ContextConfig",103,-193,193
"688","320150","tomcat","5.5.2","org.apache.catalina.startup.DigesterFactory",11,1,0,7,37,47,2,5,4,0.6,215,0.6667,1,0,0.18,0,0,18.2727,"org.apache.catalina.startup.DigesterFactory",28,-19,19
"689","320309","tomcat","5.0.26","org.apache.catalina.startup.Embedded",46,0,1,26,132,683,1,25,40,0.8889,1442,0.9333,6,0,0.1254,0,0,30.0217,"org.apache.catalina.startup.Embedded",548,-135,135
"690","320947","tomcat","5.5.36","org.apache.catalina.startup.ExpandWar",13,1,0,6,76,48,2,4,9,0.6389,717,0.6667,1,0,0.2619,0,0,53.9231,"org.apache.catalina.startup.ExpandWar",22,-26,26
"691","321089","tomcat","7.0.72","org.apache.catalina.startup.FailedContext",235,0,0,33,246,27469,1,32,230,0.9915,689,1,1,0,0.0431,0,0,1.9021,"org.apache.catalina.startup.FailedContext",23845,-3624,3624
"692","321487","tomcat","7.0.72","org.apache.catalina.startup.HostConfig",50,1,0,31,226,483,6,28,25,0.7791,4621,1,1,0,0.2,0,0,91.08,"org.apache.catalina.startup.HostConfig",150,-333,333
"693","325101","tomcat","7.0.16","org.apache.catalina.startup.TldConfig",27,1,0,23,105,187,4,21,17,0.8513,989,1,1,0,0.1752,0,0,35.0741,"org.apache.catalina.startup.TldConfig",72,-115,115
"694","325449","tomcat","7.0.72","org.apache.catalina.startup.Tomcat",47,1,0,22,136,973,2,22,35,0.8668,2510,0.9375,6,0,164,0,0,52.0638,"org.apache.catalina.startup.Tomcat",678,-295,295
"695","326236","tomcat","5.0.30","org.apache.catalina.startup.UserConfig",21,1,0,11,54,92,3,9,14,0.7563,385,1,2,0,0.31,0,0,16.9524,"org.apache.catalina.startup.UserConfig",67,-25,25
"696","326767","tomcat","7.0.27","org.apache.catalina.startup.WebAnnotationSet",16,1,0,16,96,120,1,15,2,1.0667,693,1,0,0,0.2604,0,0,42.25,"org.apache.catalina.startup.WebAnnotationSet",76,-44,44
"697","329827","tomcat","8.5.5","org.apache.catalina.tribes.Channel",17,1,0,29,17,136,23,7,17,1.0625,30,0,0,0,0.1872,0,0,0,"org.apache.catalina.tribes.Channel",105,-31,31
"698","330172","tomcat","8.5.5","org.apache.catalina.tribes.ChannelInterceptor",18,1,0,17,18,153,11,8,18,2,18,0,0,0,0.1722,0,0,0,"org.apache.catalina.tribes.ChannelInterceptor",120,-33,33
"699","331205","tomcat","7.0.6","org.apache.catalina.tribes.group.ChannelCoordinator",23,0,0,19,72,173,1,18,21,0.6727,466,1,3,0,0.1826,0,0,19.0435,"org.apache.catalina.tribes.group.ChannelCoordinator",136,-37,37
"700","331364","tomcat","7.0.72","org.apache.catalina.tribes.group.ChannelInterceptorBase",23,1,14,22,35,231,15,7,23,0.7955,178,1,3,0,0.1739,0,0,6.5652,"org.apache.catalina.tribes.group.ChannelInterceptorBase",174,-57,57
"701","331562","tomcat","7.0.72","org.apache.catalina.tribes.group.GroupChannel",34,0,0,40,126,349,10,31,30,0.8727,940,1,3,0,0.1052,0,0,26.3529,"org.apache.catalina.tribes.group.GroupChannel",310,-39,39
"702","332620","tomcat","8.0.30","org.apache.catalina.tribes.group.interceptors.MessageDispatch15Interceptor",14,0,0,9,25,37,2,8,14,0.7538,131,1,0,0,0.2619,0,0,8,"org.apache.catalina.tribes.group.interceptors.MessageDispatch15Interceptor",0,-37,37
"703","332833","tomcat","8.5.5","org.apache.catalina.tribes.group.interceptors.MessageDispatchInterceptor",25,0,0,16,64,180,2,15,23,0.8258,471,1,1,0,0.2619,0,0,17.4,"org.apache.catalina.tribes.group.interceptors.MessageDispatchInterceptor",100,-80,80
"704","332931","tomcat","7.0.72","org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator",40,0,0,21,108,486,2,21,22,0.7726,1809,1,5,0,0.1696,0,0,43.85,"org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator",413,-73,73
"705","333724","tomcat","7.0.72","org.apache.catalina.tribes.group.interceptors.StaticMembershipInterceptor",16,0,0,15,61,54,2,15,11,0.7467,714,1,1,0,0.2571,0,0,43.3125,"org.apache.catalina.tribes.group.interceptors.StaticMembershipInterceptor",0,-54,54
"706","333954","tomcat","7.0.72","org.apache.catalina.tribes.group.interceptors.TcpFailureDetector",29,0,0,17,97,230,3,14,23,0.7695,1241,1,1,0,0.1905,0,0,41.4138,"org.apache.catalina.tribes.group.interceptors.TcpFailureDetector",181,-49,49
